RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
B1,,,85.333,21.89,Top,0,CR2032 Battery Holder
C1,CAP_0402,CAP_0402,114.73,14.87,Top,270,100nF
C2,CAP_0402,CAP_0402,130.01,15.49,Top,270,100nF
C3,CAP_0402,CAP_0402,199.06,28.09,Top,0,100nF
C4,CAP_0402,CAP_0402,196.42,30.91,Top,270,100nF
C5,CAP_0402,CAP_0402,197.55,30.91,Top,270,4.7uF
C6,CAP_0402,CAP_0402,195.32,30.9,Top,270,10nF
C7,CAP_0402,CAP_0402,197.57,22.97,Top,90,47pF
C8,CAP_0402,CAP_0402,195.4,22.97,Top,90,47pF
C9,CAP_0402,CAP_0402,133.32,21.15,Top,90,100nF
D1,Red_LED_0805,Red_LED_0805,5.3,27.9,Top,0,
D2,Red_LED_0805,Red_LED_0805,14.45,27.9,Top,0,
D3,Red_LED_0805,Red_LED_0805,23.6,27.9,Top,0,
D4,Red_LED_0805,Red_LED_0805,32.75,27.9,Top,0,
D5,Red_LED_0805,Red_LED_0805,41.9,27.9,Top,0,
D6,Red_LED_0805,Red_LED_0805,51.05,27.9,Top,0,
D7,Red_LED_0805,Red_LED_0805,60.2,27.9,Top,0,
D8,Red_LED_0805,Red_LED_0805,69.35,27.9,Top,0,
D9,Red_LED_0805,Red_LED_0805,5.3,20.7,Top,0,
D10,Red_LED_0805,Red_LED_0805,14.45,20.7,Top,0,
D11,Red_LED_0805,Red_LED_0805,23.6,20.7,Top,0,
D12,Red_LED_0805,Red_LED_0805,32.75,20.7,Top,0,
D13,Red_LED_0805,Red_LED_0805,41.9,20.7,Top,0,
D14,Red_LED_0805,Red_LED_0805,51.05,20.7,Top,0,
D15,Red_LED_0805,Red_LED_0805,60.2,20.7,Top,0,
D16,Red_LED_0805,Red_LED_0805,69.35,20.7,Top,0,
D17,Red_LED_0805,Red_LED_0805,139.01,11.05,Top,270,
D18,Red_LED_0805,Red_LED_0805,151.5,11.05,Top,270,
D19,CUS08F30,,132.8,10.13,Top,270,
D20,CUS08F30,,130.7,10.13,Top,270,
FB1,Ferrite Bead 0402,Ferrite Bead 0402,194.21,30.9,Top,270,600R @ 100MHz
J1,USB-C,U262-241N-4BV64,205.05,27.196,Top,90,
R1,RES_0402,RES_0402,5.5,26.4,Top,180,1k
R2,RES_0402,RES_0402,14.65,26.4,Top,180,1k
R3,RES_0402,RES_0402,23.8,26.4,Top,180,1k
R4,RES_0402,RES_0402,32.95,26.4,Top,180,1k
R5,RES_0402,RES_0402,42.1,26.4,Top,180,1k
R6,RES_0402,RES_0402,51.25,26.4,Top,180,1k
R7,RES_0402,RES_0402,60.4,26.4,Top,180,1k
R8,RES_0402,RES_0402,69.55,26.4,Top,180,1k
R9,RES_0402,RES_0402,5.5,19.2,Top,180,1k
R10,RES_0402,RES_0402,14.65,19.2,Top,180,1k
R11,RES_0402,RES_0402,23.8,19.2,Top,180,1k
R12,RES_0402,RES_0402,32.95,19.2,Top,180,1k
R13,RES_0402,RES_0402,42.1,19.2,Top,180,1k
R14,RES_0402,RES_0402,51.25,19.2,Top,180,1k
R15,RES_0402,RES_0402,60.4,19.2,Top,180,1k
R16,RES_0402,RES_0402,69.55,19.2,Top,180,1k
R17,RES_0402,RES_0402,139.03,13.87,Top,0,1k
R18,RES_0402,RES_0402,151.52,13.82,Top,0,1k
R19,RES_0402,RES_0402,156.33,26.62,Top,270,10k
R20,RES_0402,RES_0402,167.21,26.55,Top,270,10k
R21,RES_0402,RES_0402,156.17,13.82,Top,270,10k
R22,RES_0402,RES_0402,167.09,13.75,Top,270,10k
R23,RES_0402,RES_0402,145.32,13.13,Top,0,10k
R24,RES_0402,RES_0402,180.79,26.65,Top,270,10k
R25,RES_0402,RES_0402,180.7,13.97,Top,270,10k
R26,RES_0402,RES_0402,194.3,22.97,Top,270,27R
R27,RES_0402,RES_0402,196.46,22.97,Top,270,27R
R28,RES_0402,RES_0402,132.08,21.14,Top,90,1k
R29,RES_0402,RES_0402,130.95,21.13,Top,270,10k
R30,RES_0402,RES_0402,129.73,21.13,Top,270,10k
R31,RES_0402,RES_0402,199.07,25.91,Top,180,5.1k
R32,RES_0402,RES_0402,199.07,26.97,Top,180,5.1k
SW1,B3S,B3S,5.32,12.872,Top,90,Button
SW2,B3S,B3S,14.47,12.872,Top,90,Button
SW3,B3S,B3S,23.62,12.872,Top,90,Button
SW4,B3S,B3S,32.77,12.872,Top,90,Button
SW5,B3S,B3S,41.92,12.872,Top,90,Button
SW6,B3S,B3S,51.07,12.872,Top,90,Button
SW7,B3S,B3S,60.22,12.872,Top,90,Button
SW8,B3S,B3S,69.37,12.872,Top,90,Button
SW9,B3S,B3S,160.467,13.75,Top,180,Button
SW10,B3S,B3S,171.418,13.77,Top,180,Button
SW11,B3S,B3S,160.428,26.45,Top,180,Button
SW12,B3S,B3S,171.438,26.47,Top,180,Button
SW13,B3S,B3S,145.43,17.527,Top,270,Button
SW14,B3S,B3S,185.018,13.77,Top,180,Button
SW15,B3S,B3S,185.018,26.47,Top,180,Button
SW16,,,104.351,15.814,Top,270,Slide Switch
U1,,QFP-44/12x12x0.8,122.1,15.37,Top,0,PIC18F46K20I/PT
U2,FT234XD,FT234XD,195.465,27.338,Top,270,
U3,SOT353,SOT353,132.09,18.355,Top,0,SN74LVC1G08DCKR
